GENE_ENTREZ_ID,GENE_SYMBOL,DISEASE_IDS
1646,AKR1C2,OMIM:614279
1109,AKR1C4,OMIM:614279
84733,CBX2,"ORPHA:242,OMIM:613080"
22858,CILK1,"OMIM:612651,OMIM:617924,ORPHA:307"
1528,CYB5A,"ORPHA:90796,OMIM:250790,ORPHA:621"
1583,CYP11A1,"OMIM:613743,ORPHA:289548,ORPHA:168558"
1586,CYP17A1,"ORPHA:90796,OMIM:202110,ORPHA:90793"
50846,DHH,"ORPHA:168563,ORPHA:242,OMIM:607080,OMIM:233420"
57647,DHX37,"ORPHA:242,ORPHA:983,OMIM:618731,ORPHA:251510,OMIM:273250"
2626,GATA4,"OMIM:614429,OMIM:187500,OMIM:607941,ORPHA:3303,ORPHA:251071,ORPHA:1330,OMIM:614430,ORPHA:99103,OMIM:615542,ORPHA:251510"
4214,MAP3K1,"ORPHA:242,OMIM:613762,ORPHA:251510"
190,NR0B1,"ORPHA:242,OMIM:300018,ORPHA:393,OMIM:300200,ORPHA:251510"
2516,NR5A1,"ORPHA:242,OMIM:613957,OMIM:612964,ORPHA:243,OMIM:612965,ORPHA:393,ORPHA:399805,OMIM:617480,ORPHA:251510,ORPHA:2138"
284654,RSPO1,"OMIM:610644,ORPHA:85112"
6662,SOX9,"ORPHA:242,ORPHA:718,ORPHA:393,OMIM:114290,ORPHA:251510,ORPHA:140,ORPHA:2138"
6736,SRY,"ORPHA:242,ORPHA:1772,OMIM:400045,ORPHA:393,OMIM:400044,ORPHA:251510,ORPHA:2138"
54361,WNT4,"ORPHA:139466,OMIM:158330,ORPHA:247768,OMIM:611812"
7490,WT1,"ORPHA:242,ORPHA:3097,ORPHA:893,OMIM:608978,ORPHA:654,OMIM:194080,OMIM:194072,ORPHA:251510,OMIM:156240,OMIM:136680,ORPHA:220,OMIM:194070,OMIM:106210,ORPHA:347,OMIM:256370,ORPHA:656,ORPHA:83469"
51741,WWOX,"OMIM:133239,ORPHA:99977,OMIM:616211,OMIM:614322,ORPHA:284282,ORPHA:442835,ORPHA:251510"
23414,ZFPM2,"OMIM:187500,OMIM:610187,ORPHA:3303,OMIM:616067,ORPHA:2140,ORPHA:251510"
