GENE_ENTREZ_ID,GENE_SYMBOL,DISEASE_IDS
79719,AAGAB,"OMIM:148600,ORPHA:79501"
57505,AARS2,"OMIM:614096,OMIM:615889"
10149,ADGRG2,"OMIM:300985,ORPHA:48"
128,ADH5,OMIM:619151
10555,AGPAT2,"ORPHA:528,OMIM:608594"
9049,AIP,"ORPHA:99725,OMIM:102200,ORPHA:2965,OMIM:219090,ORPHA:963"
326,AIRE,"OMIM:240300,ORPHA:3453"
207,AKT1,"OMIM:176920,ORPHA:2495,OMIM:114500,OMIM:615109,ORPHA:201,ORPHA:744,OMIM:167000,OMIM:114480"
208,AKT2,"ORPHA:293964,ORPHA:79085,OMIM:240900,OMIM:125853"
79796,ALG9,"ORPHA:730,OMIM:263210,ORPHA:79328,OMIM:608776"
7840,ALMS1,"ORPHA:64,OMIM:203800"
268,AMH,"ORPHA:2856,OMIM:261550"
269,AMHR2,"ORPHA:2856,OMIM:261550"
64682,ANAPC1,"OMIM:618625,ORPHA:221008"
3730,ANOS1,"ORPHA:478,OMIM:308700"
118429,ANTXR2,"ORPHA:2176,OMIM:228600,ORPHA:2028"
324,APC,"ORPHA:247806,ORPHA:99818,ORPHA:873,ORPHA:79665,OMIM:619182,OMIM:175100,OMIM:613659,OMIM:114500,OMIM:114550,OMIM:135290,ORPHA:3258,ORPHA:261584"
367,AR,"ORPHA:95706,OMIM:313200,ORPHA:90797,OMIM:300068,OMIM:176807,OMIM:300633,ORPHA:99429,OMIM:312300,ORPHA:481"
57514,ARHGAP31,"OMIM:100300,ORPHA:974"
57492,ARID1B,"ORPHA:251056,ORPHA:1465,OMIM:135900"
84100,ARL6,"ORPHA:110,ORPHA:791,OMIM:268000,OMIM:613575,OMIM:209900,OMIM:600151"
472,ATM,"ORPHA:52416,OMIM:208900,ORPHA:100,OMIM:114480"
6790,AURKA,OMIM:114500
8312,AXIN1,"OMIM:607864,OMIM:114550"
8313,AXIN2,"OMIM:608615,OMIM:114500,ORPHA:99798,ORPHA:401911"
145173,B3GLCT,"OMIM:261540,ORPHA:709"
2583,B4GALNT1,"ORPHA:101006,OMIM:609195"
580,BARD1,"ORPHA:145,OMIM:114480"
581,BAX,"OMIM:613065,OMIM:114500"
92482,BBIP1,"ORPHA:110,OMIM:615995"
582,BBS1,"ORPHA:110,OMIM:209900"
79738,BBS10,"OMIM:615987,ORPHA:110"
166379,BBS12,"ORPHA:110,OMIM:615989"
583,BBS2,"ORPHA:110,ORPHA:791,OMIM:615981,OMIM:616562"
585,BBS4,"ORPHA:110,OMIM:615982"
129880,BBS5,"ORPHA:110,OMIM:615983"
55212,BBS7,"ORPHA:110,OMIM:615984"
27241,BBS9,"ORPHA:110,OMIM:615986"
54880,BCOR,"ORPHA:568,OMIM:300166,OMIM:309800,ORPHA:2712,ORPHA:520"
641,BLM,"OMIM:210900,ORPHA:125"
9210,BMP15,"OMIM:300510,ORPHA:243"
652,BMP4,"OMIM:600625,OMIM:607932,ORPHA:199306,ORPHA:139471"
657,BMPR1A,"ORPHA:79076,ORPHA:329971,ORPHA:440437,OMIM:610069,OMIM:174900,ORPHA:157794"
658,BMPR1B,"ORPHA:93388,OMIM:112600,ORPHA:93396,ORPHA:2098,ORPHA:2639,ORPHA:93384,OMIM:616849,OMIM:609441"
646,BNC1,"ORPHA:243,OMIM:618723"
673,BRAF,"OMIM:163950,OMIM:155600,ORPHA:54595,OMIM:115150,ORPHA:840,ORPHA:500,OMIM:613706,OMIM:114500,OMIM:211980,ORPHA:1340,OMIM:613707"
672,BRCA1,"ORPHA:84,ORPHA:168829,OMIM:604370,ORPHA:145,OMIM:617883,ORPHA:1333,OMIM:114480"
675,BRCA2,"ORPHA:84,OMIM:194070,OMIM:155255,OMIM:176807,OMIM:613029,OMIM:612555,OMIM:605724,ORPHA:654,OMIM:613347,ORPHA:145,ORPHA:1333,OMIM:114480"
83990,BRIP1,"ORPHA:84,ORPHA:145,OMIM:609054,OMIM:114480"
26580,BSCL2,"ORPHA:139536,OMIM:269700,OMIM:619112,OMIM:270685,OMIM:615924,ORPHA:528,ORPHA:100998,ORPHA:363400"
695,BTK,"OMIM:307200,OMIM:300755,ORPHA:47"
699,BUB1,"ORPHA:1052,OMIM:114500"
701,BUB1B,"ORPHA:1052,OMIM:176430,OMIM:114500,OMIM:257300"
317761,C14orf39,"OMIM:619203,OMIM:619202,ORPHA:399805"
6650,CAPN15,OMIM:619318
843,CASP10,"OMIM:605027,OMIM:603909,ORPHA:3261,OMIM:613659"
857,CAV1,"OMIM:606721,OMIM:612526,OMIM:615343,ORPHA:528,ORPHA:220393,ORPHA:220402"
284119,CAVIN1,"OMIM:613327,ORPHA:528"
84733,CBX2,"OMIM:613080,ORPHA:242"
57545,CC2D2A,"ORPHA:1454,ORPHA:2318,OMIM:612285,OMIM:612284,ORPHA:564,OMIM:619111"
285025,CCDC141,"OMIM:146110,ORPHA:478"
79140,CCDC28B,OMIM:209900
595,CCND1,"ORPHA:52416,OMIM:114500,ORPHA:29073,OMIM:254500,OMIM:193300"
92002,CCNQ,"ORPHA:140952,OMIM:300707"
79577,CDC73,"ORPHA:99879,OMIM:608266,ORPHA:99880,ORPHA:143,OMIM:145001,OMIM:145000"
999,CDH1,"OMIM:137215,ORPHA:199306,OMIM:176807,OMIM:608089,ORPHA:1997,OMIM:167000,OMIM:119580,OMIM:114480"
64072,CDH23,"ORPHA:91347,OMIM:601386,ORPHA:2965,ORPHA:231169,OMIM:617540,ORPHA:96253,OMIM:601067"
1027,CDKN1B,"ORPHA:276152,OMIM:610755,ORPHA:652"
1028,CDKN1C,"OMIM:614732,ORPHA:397590,ORPHA:85173,OMIM:130650,ORPHA:436144"
1029,CDKN2A,"OMIM:155601,OMIM:606719,ORPHA:524,ORPHA:618,OMIM:155755,ORPHA:1333"
22897,CEP164,"OMIM:614845,ORPHA:3156"
84984,CEP19,"ORPHA:110,OMIM:615703"
80184,CEP290,"ORPHA:2318,ORPHA:110,ORPHA:65,OMIM:611134,ORPHA:564,ORPHA:3156,OMIM:610188,OMIM:611755,OMIM:615991,OMIM:610189"
9702,CEP57,"ORPHA:1052,OMIM:614114"
157657,CFAP418,"ORPHA:110,ORPHA:791,OMIM:268000,OMIM:617406,OMIM:614500,ORPHA:1872"
1080,CFTR,"OMIM:219700,ORPHA:676,OMIM:167800,ORPHA:60033,ORPHA:498359,ORPHA:48,ORPHA:399805,OMIM:277180,ORPHA:586,OMIM:211400"
55636,CHD7,"ORPHA:138,ORPHA:432,OMIM:214800,ORPHA:478,ORPHA:39041,OMIM:612370"
11200,CHEK2,"OMIM:176807,OMIM:609265,OMIM:259500,OMIM:114500,ORPHA:524,ORPHA:145,ORPHA:668,OMIM:114480"
1131,CHRM3,"OMIM:100100,ORPHA:2970"
63924,CIDEC,"OMIM:615238,ORPHA:435651"
9075,CLDN2,OMIM:301060
64581,CLEC7A,"OMIM:613108,ORPHA:1334"
8192,CLPP,OMIM:614129
1277,COL1A1,"ORPHA:287,OMIM:166200,OMIM:130060,OMIM:619115,OMIM:166220,OMIM:114000,ORPHA:31112,ORPHA:1310,ORPHA:1899,OMIM:166210,OMIM:166710,OMIM:259420"
1281,COL3A1,"ORPHA:2500,OMIM:618343,ORPHA:286,ORPHA:231160,OMIM:130050"
1287,COL4A5,"ORPHA:1018,OMIM:301050"
1288,COL4A6,"OMIM:300914,ORPHA:1018"
1289,COL5A1,"ORPHA:287,OMIM:619329,OMIM:130000"
1290,COL5A2,"ORPHA:287,OMIM:130010"
1294,COL7A1,"OMIM:226600,OMIM:131850,ORPHA:89842,ORPHA:89843,OMIM:604129,ORPHA:158676,OMIM:132000,OMIM:607523,ORPHA:79410,ORPHA:231568,ORPHA:79411,ORPHA:158673,OMIM:131750,ORPHA:79408,ORPHA:79409,OMIM:131705"
1312,COMT,"OMIM:167870,OMIM:181500,ORPHA:567"
10699,CORIN,"OMIM:614595,ORPHA:275555"
1349,COX7B,"OMIM:309801,ORPHA:2556,OMIM:300887"
10815,CPLX1,"ORPHA:280,ORPHA:352582,OMIM:194190,OMIM:617976"
1387,CREBBP,"OMIM:618332,ORPHA:353277,OMIM:180849,ORPHA:353281"
1487,CTBP1,"ORPHA:280,OMIM:194190,OMIM:617915"
80169,CTC1,"OMIM:612199,ORPHA:1775"
1493,CTLA4,"ORPHA:3162,OMIM:616100,ORPHA:2584,ORPHA:900,OMIM:140300,OMIM:152700"
1499,CTNNB1,"OMIM:615075,OMIM:617572,ORPHA:54595,OMIM:155255,ORPHA:873,ORPHA:33402,OMIM:132600,ORPHA:404473,OMIM:114500,OMIM:114550,OMIM:167000,ORPHA:891"
7852,CXCR4,"ORPHA:51636,OMIM:193670"
1528,CYB5A,"ORPHA:90796,ORPHA:621,OMIM:250790"
1583,CYP11A1,"ORPHA:289548,OMIM:613743,ORPHA:168558"
1584,CYP11B1,"ORPHA:90795,ORPHA:403,OMIM:103900,OMIM:202010"
1586,CYP17A1,"ORPHA:90796,ORPHA:90793,OMIM:202110"
1588,CYP19A1,"ORPHA:91,OMIM:613546,OMIM:139300"
4519,CYTB,"OMIM:540000,ORPHA:104,OMIM:535000,ORPHA:137675"
51339,DACT1,"ORPHA:857,OMIM:617466,ORPHA:63260"
80067,DCAF17,"OMIM:241080,ORPHA:3464"
1630,DCC,"ORPHA:238722,OMIM:617542,OMIM:114500,ORPHA:2744,OMIM:157600,ORPHA:478,OMIM:133239"
1642,DDB1,OMIM:619426
1717,DHCR7,"OMIM:270400,ORPHA:818"
50846,DHH,"ORPHA:168563,OMIM:233420,ORPHA:242,OMIM:607080"
57647,DHX37,"OMIM:273250,OMIM:618731,ORPHA:251510,ORPHA:242,ORPHA:983"
1730,DIAPH2,OMIM:300511
23405,DICER1,"OMIM:618272,OMIM:180295,OMIM:601200,ORPHA:276399,OMIM:138800"
1736,DKC1,"ORPHA:3322,OMIM:305000,ORPHA:1775"
10395,DLC1,OMIM:114500
10683,DLL3,"ORPHA:2311,OMIM:277300"
1760,DMPK,"ORPHA:273,OMIM:160900"
84277,DNAJC30,"ORPHA:104,ORPHA:904,OMIM:619382"
1848,DUSP6,"ORPHA:432,OMIM:615269,OMIM:146110,ORPHA:478"
79659,DYNC2H1,"ORPHA:474,ORPHA:93271,OMIM:613091"
55112,DYNC2I1,"ORPHA:474,ORPHA:93271,OMIM:615503"
89891,DYNC2I2,"OMIM:615633,ORPHA:474,ORPHA:93271"
51626,DYNC2LI1,"ORPHA:474,ORPHA:289,OMIM:617088"
1967,EIF2B1,OMIM:603896
8892,EIF2B2,OMIM:603896
8891,EIF2B3,OMIM:603896
8890,EIF2B4,OMIM:603896
8893,EIF2B5,OMIM:603896
2006,ELN,"OMIM:123700,OMIM:185500,ORPHA:3193,ORPHA:90348,ORPHA:904,ORPHA:91387,OMIM:194050"
2033,EP300,"OMIM:618333,ORPHA:353284,OMIM:613684,OMIM:180849,OMIM:114500"
4072,EPCAM,"ORPHA:92050,ORPHA:144,OMIM:613244,OMIM:613217"
2048,EPHB2,"OMIM:603688,OMIM:618462"
26284,ERAL1,OMIM:617565
2064,ERBB2,"OMIM:137800,OMIM:613659,OMIM:211980,ORPHA:388,OMIM:167000"
2068,ERCC2,"ORPHA:33364,ORPHA:910,OMIM:278730,ORPHA:220295,OMIM:601675,OMIM:610756,ORPHA:1466"
2071,ERCC3,"OMIM:610651,ORPHA:33364,ORPHA:910,ORPHA:220295,OMIM:616390"
2072,ERCC4,"OMIM:610965,ORPHA:84,OMIM:278760,ORPHA:910,ORPHA:90321,ORPHA:220295,OMIM:615272"
2074,ERCC6,"ORPHA:90322,OMIM:616946,ORPHA:90321,OMIM:133540,ORPHA:90324,OMIM:278800,OMIM:214150,OMIM:211980,ORPHA:1466,OMIM:600630"
157570,ESCO2,"OMIM:216100,OMIM:268300,ORPHA:3103"
2099,ESR1,"ORPHA:785,OMIM:157300,OMIM:615363,OMIM:114480"
2121,EVC,"OMIM:225500,ORPHA:952,OMIM:193530,ORPHA:289"
132884,EVC2,"OMIM:225500,ORPHA:952,OMIM:193530,ORPHA:289"
2130,EWSR1,"ORPHA:83469,OMIM:612219"
2155,F7,"ORPHA:327,OMIM:227500"
22909,FAN1,"ORPHA:144,OMIM:614817"
2175,FANCA,"ORPHA:84,OMIM:227650"
2187,FANCB,"ORPHA:84,OMIM:314390,ORPHA:3412,OMIM:300514"
2176,FANCC,"ORPHA:84,OMIM:227645"
2177,FANCD2,"ORPHA:84,OMIM:227646"
2178,FANCE,"ORPHA:84,OMIM:600901"
2188,FANCF,"ORPHA:84,OMIM:603467"
2189,FANCG,"ORPHA:84,OMIM:614082"
55215,FANCI,"ORPHA:84,OMIM:609053"
55120,FANCL,"ORPHA:84,OMIM:614083"
57697,FANCM,"ORPHA:84,OMIM:618096,OMIM:618086,ORPHA:399805"
355,FAS,"ORPHA:3437,ORPHA:117,ORPHA:3261,OMIM:601859"
356,FASLG,"ORPHA:3261,OMIM:211980,OMIM:601859"
389549,FEZF1,"OMIM:616030,OMIM:146110,ORPHA:478"
2255,FGF10,"ORPHA:2363,OMIM:180920,OMIM:149730"
8822,FGF17,"ORPHA:432,OMIM:146110,OMIM:615270,ORPHA:478"
26281,FGF20,"ORPHA:1848,OMIM:615721"
2253,FGF8,"ORPHA:93925,ORPHA:432,ORPHA:220386,OMIM:612702,ORPHA:93924,ORPHA:280200,ORPHA:478,ORPHA:2162,ORPHA:93926,ORPHA:280195"
2260,FGFR1,"ORPHA:432,ORPHA:2396,OMIM:190440,ORPHA:220386,OMIM:613001,ORPHA:2117,ORPHA:93258,ORPHA:93924,ORPHA:3157,ORPHA:478,ORPHA:99798,OMIM:147950,OMIM:166250,OMIM:123150,ORPHA:2645,OMIM:615465,ORPHA:3366,ORPHA:280200,ORPHA:2162,OMIM:101600"
