GENE_ENTREZ_ID,GENE_SYMBOL,DISEASE_IDS
144568,A2ML1,"ORPHA:648,OMIM:166760"
79719,AAGAB,"OMIM:148600,ORPHA:79501"
24,ABCA4,"OMIM:601718,OMIM:604116,OMIM:153800,ORPHA:1872,OMIM:248200,ORPHA:827,ORPHA:791"
5826,ABCD4,OMIM:614857
25,ABL1,"ORPHA:521,OMIM:617602,OMIM:608232"
58,ACTA1,"OMIM:255310,ORPHA:97244,ORPHA:97240,ORPHA:171433,OMIM:616852,ORPHA:171436,ORPHA:171439,ORPHA:171430,ORPHA:2020,OMIM:161800"
59,ACTA2,"OMIM:614042,ORPHA:91387,ORPHA:2573,OMIM:611788,OMIM:613834"
60,ACTB,"OMIM:243310,ORPHA:2995,OMIM:607371,ORPHA:64755,ORPHA:79107"
72,ACTG2,"OMIM:619431,ORPHA:2241,OMIM:155310,ORPHA:2604"
51412,ACTL6B,"OMIM:618470,OMIM:618468,ORPHA:442835,ORPHA:528084"
51816,ADA2,"ORPHA:820,OMIM:615688,OMIM:182410,ORPHA:124"
9508,ADAMTS3,"ORPHA:2136,OMIM:618154"
103,ADAR,"OMIM:127400,ORPHA:51,ORPHA:41,OMIM:615010,ORPHA:225154"
104,ADARB1,OMIM:618862
113179,ADAT3,"OMIM:615286,ORPHA:363528"
10149,ADGRG2,"OMIM:300985,ORPHA:48"
23394,ADNP,"OMIM:615873,ORPHA:404448"
165,AEBP1,"OMIM:618000,ORPHA:536532"
27125,AFF4,"ORPHA:444077,OMIM:616368"
175,AGA,"OMIM:208400,ORPHA:93"
60509,AGBL5,"OMIM:617023,ORPHA:791"
27161,AGO2,"OMIM:619149,ORPHA:528084"
54806,AHI1,"ORPHA:220493,OMIM:608629,ORPHA:475,ORPHA:791"
196,AHR,"OMIM:618345,ORPHA:791"
9049,AIP,"ORPHA:99725,OMIM:102200,ORPHA:2965,OMIM:219090,ORPHA:963"
1646,AKR1C2,OMIM:614279
1109,AKR1C4,OMIM:614279
207,AKT1,"ORPHA:201,OMIM:176920,ORPHA:744,ORPHA:2495,OMIM:114480,OMIM:615109,OMIM:167000,OMIM:114500"
5832,ALDH18A1,"OMIM:601162,OMIM:616603,ORPHA:447757,ORPHA:35664,ORPHA:447753,OMIM:219150,ORPHA:447760,OMIM:616586,ORPHA:90348"
79087,ALG12,"OMIM:607143,ORPHA:79324"
79053,ALG8,"OMIM:608104,OMIM:617874,ORPHA:79325"
91801,ALKBH8,"ORPHA:88616,OMIM:618504"
7840,ALMS1,"ORPHA:64,OMIM:203800"
60529,ALX4,"OMIM:609597,OMIM:615529,ORPHA:35093,ORPHA:228390,ORPHA:60015,OMIM:613451,ORPHA:52022"
268,AMH,"ORPHA:2856,OMIM:261550"
269,AMHR2,"ORPHA:2856,OMIM:261550"
64682,ANAPC1,"ORPHA:221008,OMIM:618625"
285,ANGPT2,OMIM:619369
286,ANK1,"OMIM:182900,ORPHA:251066,ORPHA:822"
23141,ANKLE2,"OMIM:616681,ORPHA:2512"
29123,ANKRD11,"ORPHA:261250,OMIM:148050,ORPHA:2332"
3730,ANOS1,"OMIM:308700,ORPHA:478"
8905,AP1S2,"OMIM:304340,ORPHA:1568,ORPHA:85329,ORPHA:85335"
324,APC,"OMIM:613659,ORPHA:99818,ORPHA:873,OMIM:135290,ORPHA:3258,OMIM:175100,OMIM:619182,ORPHA:247806,ORPHA:261584,ORPHA:79665,OMIM:114550,OMIM:114500"
10297,APC2,"OMIM:618677,ORPHA:821,OMIM:617169"
367,AR,"OMIM:312300,ORPHA:99429,OMIM:300633,OMIM:176807,ORPHA:95706,OMIM:300068,ORPHA:90797,ORPHA:481,OMIM:313200"
372,ARCN1,OMIM:617164
23370,ARHGEF18,"OMIM:617433,ORPHA:791"
8289,ARID1A,"ORPHA:1465,OMIM:614607"
57492,ARID1B,"OMIM:135900,ORPHA:251056,ORPHA:1465"
196528,ARID2,"OMIM:617808,ORPHA:1465"
23568,ARL2BP,"ORPHA:791,OMIM:615434"
403,ARL3,"OMIM:618161,ORPHA:475,ORPHA:791,OMIM:618173"
84100,ARL6,"OMIM:600151,OMIM:268000,OMIM:209900,ORPHA:791,OMIM:613575,ORPHA:110"
9915,ARNT2,"OMIM:615926,ORPHA:3157"
170302,ARX,"OMIM:309510,OMIM:308350,OMIM:300215,ORPHA:94083,ORPHA:452,ORPHA:1934,ORPHA:3175,ORPHA:2508,OMIM:300419,ORPHA:3451,OMIM:300004,ORPHA:777"
55870,ASH1L,"OMIM:617796,ORPHA:178469"
80816,ASXL3,"OMIM:615485,ORPHA:352577"
55210,ATAD3A,"ORPHA:496790,OMIM:618810,OMIM:617183"
472,ATM,"ORPHA:100,OMIM:208900,ORPHA:52416,OMIM:114480"
