GENE_ENTREZ_ID,GENE_SYMBOL,DISEASE_IDS
57505,AARS2,"OMIM:614096,OMIM:615889"
60,ACTB,"ORPHA:2995,ORPHA:79107,OMIM:243310,OMIM:607371,ORPHA:64755"
128,ADH5,OMIM:619151
10555,AGPAT2,"OMIM:608594,ORPHA:528"
9049,AIP,"ORPHA:99725,ORPHA:2965,OMIM:102200,ORPHA:963,OMIM:219090"
326,AIRE,"OMIM:240300,ORPHA:3453"
207,AKT1,"ORPHA:2495,ORPHA:744,OMIM:167000,OMIM:114480,OMIM:176920,OMIM:114500,OMIM:615109,ORPHA:201"
208,AKT2,"OMIM:240900,ORPHA:293964,ORPHA:79085,OMIM:125853"
79796,ALG9,"OMIM:608776,ORPHA:730,OMIM:263210,ORPHA:79328"
7840,ALMS1,"ORPHA:64,OMIM:203800"
64682,ANAPC1,"ORPHA:221008,OMIM:618625"
3730,ANOS1,"OMIM:308700,ORPHA:478"
118429,ANTXR2,"OMIM:228600,ORPHA:2176,ORPHA:2028"
324,APC,"OMIM:613659,ORPHA:261584,OMIM:619182,OMIM:175100,ORPHA:79665,ORPHA:3258,OMIM:114500,ORPHA:99818,ORPHA:873,ORPHA:247806,OMIM:114550,OMIM:135290"
367,AR,"ORPHA:481,ORPHA:95706,OMIM:300633,OMIM:300068,OMIM:313200,ORPHA:90797,OMIM:312300,OMIM:176807,ORPHA:99429"
57514,ARHGAP31,"ORPHA:974,OMIM:100300"
57492,ARID1B,"ORPHA:251056,OMIM:135900,ORPHA:1465"
84100,ARL6,"ORPHA:110,OMIM:613575,OMIM:600151,OMIM:209900,ORPHA:791,OMIM:268000"
471,ATIC,"ORPHA:250977,OMIM:608688"
472,ATM,"OMIM:208900,ORPHA:52416,OMIM:114480,ORPHA:100"
545,ATR,"ORPHA:808,OMIM:614564,OMIM:210600"
6790,AURKA,OMIM:114500
8312,AXIN1,"OMIM:607864,OMIM:114550"
8313,AXIN2,"OMIM:608615,ORPHA:99798,OMIM:114500,ORPHA:401911"
145173,B3GLCT,"OMIM:261540,ORPHA:709"
2583,B4GALNT1,"OMIM:609195,ORPHA:101006"
580,BARD1,"OMIM:114480,ORPHA:145"
581,BAX,"OMIM:114500,OMIM:613065"
92482,BBIP1,"ORPHA:110,OMIM:615995"
582,BBS1,"ORPHA:110,OMIM:209900"
79738,BBS10,"ORPHA:110,OMIM:615987"
166379,BBS12,"ORPHA:110,OMIM:615989"
583,BBS2,"ORPHA:110,OMIM:615981,ORPHA:791,OMIM:616562"
585,BBS4,"ORPHA:110,OMIM:615982"
